"member_casual","start_station_name","month_name","day_of_week","popularrides"
casual,Michigan Ave & Lake St,December,1,23
casual,Michigan Ave & Lake St,December,7,19
casual,Dusable Harbor,December,7,18
casual,Dusable Harbor,December,1,14
casual,Dusable Harbor,December,4,13
casual,Broadway & Barry Ave,December,4,13
casual,Clark St & Grace St,December,1,13
casual,Broadway & Barry Ave,December,1,12
casual,Michigan Ave & Lake St,December,5,11
casual,Streeter Dr & Grand Ave,July,7,29
casual,Lake Shore Dr & Monroe St,July,1,23
casual,Streeter Dr & Grand Ave,July,6,23
casual,Streeter Dr & Grand Ave,July,1,21
casual,Streeter Dr & Grand Ave,July,4,18
casual,Lake Shore Dr & Monroe St,July,7,18
casual,Millennium Park,July,1,17
casual,Streeter Dr & Grand Ave,July,5,16
casual,Theater on the Lake,July,1,16
casual,Lake Shore Dr & Monroe St,July,6,15
casual,Streeter Dr & Grand Ave,July,2,15
casual,Millennium Park,July,6,15
casual,Millennium Park,July,7,14
casual,Michigan Ave & 8th St,July,1,13
casual,Clark St & Elm St,July,5,13
casual,Buckingham Fountain,July,6,13
casual,Michigan Ave & Oak St,July,6,13
casual,Michigan Ave & Lake St,July,6,13
casual,Lake Shore Dr & Diversey Pkwy,July,7,13
casual,Shedd Aquarium,July,7,13
casual,Rush St & Cedar St,July,7,13
casual,Lake Shore Dr & North Blvd,July,1,13
casual,Michigan Ave & Lake St,July,7,12
casual,Lake Shore Dr & North Blvd,July,6,12
casual,Michigan Ave & Washington St,July,7,12
casual,Wabash Ave & Roosevelt Rd,July,7,12
casual,Shedd Aquarium,July,1,11
casual,Dearborn St & Erie St,July,2,11
casual,McClurg Ct & Illinois St,July,7,11
casual,Lake Shore Dr & Ohio St,July,1,11
casual,Streeter Dr & Grand Ave,June,7,20
casual,Streeter Dr & Grand Ave,June,1,17
casual,Millennium Park,June,7,16
casual,Lake Shore Dr & North Blvd,June,1,15
casual,Millennium Park,June,1,12
casual,Wells St & Elm St,June,1,12
casual,Columbus Dr & Randolph St,June,1,12
casual,Streeter Dr & Grand Ave,June,3,12
casual,Lake Shore Dr & Diversey Pkwy,June,7,11
casual,Fairbanks Ct & Grand Ave,June,1,11
casual,Buckingham Fountain,June,1,11
casual,Indiana Ave & Roosevelt Rd,June,3,11
casual,Broadway & Cornelia Ave,June,4,11
casual,Lake Shore Dr & Monroe St,November,7,43
casual,Lake Shore Dr & Monroe St,November,1,40
casual,Millennium Park,November,1,36
casual,Clark St & Elm St,November,6,33
casual,Michigan Ave & Oak St,November,7,31
casual,Michigan Ave & Oak St,November,1,30
casual,Millennium Park,November,7,29
casual,Indiana Ave & Roosevelt Rd,November,7,29
casual,Clark St & Armitage Ave,November,1,28
casual,Larrabee St & Webster Ave,November,7,28
casual,Lake Shore Dr & Wellington Ave,November,7,27
casual,Streeter Dr & Grand Ave,November,7,26
casual,Lake Shore Dr & North Blvd,November,1,26
casual,Wells St & Concord Ln,November,7,24
casual,Wells St & Elm St,November,5,24
casual,Wilton Ave & Belmont Ave,November,6,24
casual,Theater on the Lake,November,7,24
casual,Theater on the Lake,November,1,23
casual,Shedd Aquarium,November,7,23
casual,Lake Shore Dr & North Blvd,November,7,23
casual,Wilton Ave & Belmont Ave,November,7,23
casual,Clark St & Lincoln Ave,November,7,22
casual,Wells St & Concord Ln,November,1,22
casual,Clark St & Elm St,November,7,22
casual,Southport Ave & Waveland Ave,November,7,21
casual,Indiana Ave & Roosevelt Rd,November,1,21
casual,Damen Ave & Pierce Ave,November,7,21
casual,Millennium Park,November,5,21
casual,Wabash Ave & Grand Ave,November,6,21
casual,Wells St & Huron St,November,7,21
casual,Millennium Park,November,6,21
casual,Green St & Madison St,November,7,20
casual,Dearborn St & Erie St,November,3,20
casual,Lake Shore Dr & Belmont Ave,November,7,20
casual,Clark St & Lincoln Ave,November,6,20
casual,Wells St & Elm St,November,7,20
casual,Dearborn St & Erie St,November,7,19
casual,Dearborn Pkwy & Delaware Pl,November,7,19
casual,Dearborn St & Erie St,November,5,19
casual,Lake Shore Dr & Monroe St,November,5,19
casual,Lake Shore Dr & North Blvd,November,6,19
casual,Larrabee St & Webster Ave,November,1,19
casual,Clark St & Elm St,November,3,19
casual,Wood St & Milwaukee Ave,November,7,18
casual,Clark St & Elm St,November,1,18
