"area_title","team","annual_avg_wkly_wage","avg_annual_pay","wins_2020","losses_2020"
"Santa Clara County, California",Stanford,3127,162608,3,9
"King County, Washington",Washington,2029,105497,4,8
"Alameda County, California",California,1698,88303,5,7
"Boulder County, Colorado",Colorado,1507,78383,4,8
"Los Angeles County, California",USC,1403,72937,4,8
"Los Angeles County, California",UCLA,1403,72937,8,4
"Salt Lake County, Utah",Utah,1203,62553,10,4
"Maricopa County, Arizona",Arizona State,1178,61240,8,5
"Benton County, Oregon",Oregon State,1117,58062,7,6
"Whitman County, Washington",Washington State,1056,54914,5,7
"Pima County, Arizona",Arizona,1022,53160,1,11
"Lane County, Oregon",Oregon,952,49519,10,4
